,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,,,13 Standby,,,,,,,,,12 Check,,,,,,,,,11 Main,,,,,,,,,Weather Monitoring System,,,,,Other,
Date,Time,1 Sungrow320kW,DC Capacity 1,Generation Per kW 1,2  Sungrow320kW,DC Capacity 2,Generation Per kW 2,3 Sungrow320kW,DC Capacity 3,Generation Per kW 3,4 Sungrow320kW,DC Capacity 4,Generation Per kW 4,5 Sungrow320kW,DC Capacity 5,Generation Per kW 5,6 Sungrow320kW,DC Capacity 6,Generation Per kW 6,7 Sungrow320kW,DC Capacity 7,Generation Per kW 7,8 Sungrow320kW,DC Capacity 8,Generation Per kW 8,9 Sungrow320kW,DC Capacity 9,Generation Per kW 9,Total Generation,Total AC Active Export Energy,Main Net Export KWH,Total AC Active Import Energy,Net Import KWH,Net Generation,Total AC Reactive Export Energy,Net Export (kVArh),Total AC Reactive Import Energy,Net Import (kVArh),Total AC Active Export Energy,Main Net Export KWH,Total AC Active Import Energy,Net Import KWH,Net Generation,Total AC Reactive Export Energy,Net Export (kVArh),Total AC Reactive Import Energy,Net Import (kVArh),Total AC Active Export Energy,Main Net Export KWH,Total AC Active Import Energy,Net Import KWH,Net Generation,Total AC Reactive Export Energy,Net Export (kVArh),Total AC Reactive Import Energy,Net Import (kVArh),Ambient Temperature,Module Temperature,Solar Irradiation,Wind Direction,Wind Speed,CUF,PR%
2025-10-17,00:00,1874.6,381.5,4.91,1917.8,381.5,5.03,1904.5,381.5,4.99,0,381.5,0,1837.1,366.24,5.02,1838.5,366.24,5.02,1815.4,366.24,4.96,1830.8,366.24,5,1799.2,366.24,4.91,14817.9,750.28,16560,6.09,60,16500,12.3,240,38.55,720,750.54,16560,6.03,60,16500,12.33,240,38.68,720,750.2,16560,6.01,60,16500,12.43,300,38.71,660,39.38,13.79,22.86,291.64,0.18,21.44,
2025-10-18,00:00,1918.1,381.5,5.03,1955.4,381.5,5.13,1940,381.5,5.09,0,381.5,0,1874.6,366.24,5.12,1876.1,366.24,5.12,1852.5,366.24,5.06,1862.8,366.24,5.09,1850.2,366.24,5.05,15129.7,753.1,16920,6.1,60,16860,12.36,360,38.65,600,753.36,16920,6.04,60,16860,12.38,300,38.78,600,753.02,16920,6.02,60,16860,12.48,300,38.82,660,40,14.11,15.12,341.68,1.44,21.89,
2025-10-19,00:00,1812.2,381.5,4.75,1844.2,381.5,4.83,1826.8,381.5,4.79,0,381.5,0,1755.2,366.24,4.79,1759,366.24,4.8,1734.7,366.24,4.74,1742.5,366.24,4.76,1734.2,366.24,4.74,14208.8,755.75,15900,6.11,60,15840,12.41,300,38.76,660,756.01,15900,6.05,60,15840,12.44,360,38.89,660,755.66,15840,6.03,60,15780,12.53,300,38.93,660,39.38,15.01,21.6,268.45,2.66,20.56,
2025-10-20,00:00,1735.3,381.5,4.55,1787.1,381.5,4.68,1756.5,381.5,4.6,0,381.5,0,1685.7,366.24,4.6,1685.5,366.24,4.6,1664.3,366.24,4.54,1670.1,366.24,4.56,1661.8,366.24,4.54,13646.3,758.28,15180,6.12,60,15120,12.46,300,38.87,660,758.56,15300,6.05,0,15300,12.48,240,39,660,758.21,15300,6.04,60,15240,12.58,240,39.03,600,36.88,17.89,25.02,248.47,0.24,19.74,
2025-10-21,00:00,1336,381.5,3.5,1373.8,381.5,3.6,1351.8,381.5,3.54,0,381.5,0,1306.2,366.24,3.57,1299.9,366.24,3.55,1276.3,366.24,3.48,1279.4,366.24,3.49,1276.1,366.24,3.48,10499.5,760.24,11760,6.13,60,11700,12.51,300,38.93,360,760.51,11700,6.07,120,11580,12.53,300,39.06,360,760.17,11760,6.05,60,11700,12.63,300,39.09,360,38.75,15.04,0,337.64,3.52,15.19,
2025-10-22,00:00,1587.5,381.5,4.16,1631.2,381.5,4.28,1610.6,381.5,4.22,0,381.5,0,1555.8,366.24,4.25,1548.7,366.24,4.23,1514.3,366.24,4.13,1526.1,366.24,4.17,1518.4,366.24,4.15,12492.6,762.58,14040,6.14,60,13980,12.56,300,39.02,540,762.85,14040,6.08,60,13980,12.59,360,39.15,540,762.5,13980,6.06,60,13920,12.69,360,39.18,540,39.38,13.27,0,369,0.2,18.07,
2025-10-23,00:00,1815.3,381.5,4.76,1867.5,381.5,4.9,1841.4,381.5,4.83,0,381.5,0,1778.1,366.24,4.86,1770.7,366.24,4.83,1739.8,366.24,4.75,1750.9,366.24,4.78,1740.3,366.24,4.75,14304,765.25,16020,6.15,60,15960,12.61,300,39.12,600,765.52,16020,6.08,0,16020,12.63,240,39.25,600,765.16,15960,6.07,60,15900,12.73,240,39.29,660,38.75,13.03,20.52,46.26,0.18,20.69,98.57
2025-10-24,00:00,1841.9,381.5,4.83,1897.9,381.5,4.97,1869.4,381.5,4.9,0,381.5,0,1804.1,366.24,4.93,1794.3,366.24,4.9,1786.3,366.24,4.88,1792.9,366.24,4.9,1767.9,366.24,4.83,14554.7,767.95,16200,6.16,60,16140,12.66,300,39.23,660,768.23,16260,6.09,60,16200,12.68,300,39.36,660,767.88,16320,6.08,60,16260,12.78,300,39.4,660,40,12.33,0,74.05,0.2,21.06,99.13
2025-10-25,00:00,1844.2,381.5,4.83,1897.6,381.5,4.97,1866.7,381.5,4.89,0,381.5,0,1805,366.24,4.93,1801.4,366.24,4.92,1798,366.24,4.91,1818.1,366.24,4.96,1780.9,366.24,4.86,14611.9,770.67,16320,6.17,60,16260,12.71,300,39.35,720,770.95,16320,6.1,60,16260,12.73,300,39.49,780,770.6,16320,6.09,60,16260,12.83,300,39.52,720,38.13,13.94,9.18,40.86,0.18,21.14,
2025-10-26,00:00,1877.2,381.5,4.92,1928,381.5,5.05,1899.3,381.5,4.98,0,381.5,0,1834.4,366.24,5.01,1833.5,366.24,5.01,1823.3,366.24,4.98,1848.2,366.24,5.05,1844.3,366.24,5.04,14888.2,773.45,16680,6.18,60,16620,12.76,300,39.48,780,773.72,16620,6.12,120,16500,12.78,300,39.61,720,773.36,16560,6.1,60,16500,12.88,300,39.64,720,40,11.77,0,61.74,4.34,21.54,
2025-10-27,00:00,1347.4,381.5,3.53,1352.1,381.5,3.54,1334.3,381.5,3.5,0,381.5,0,1288,366.24,3.52,1290.1,366.24,3.52,1272.8,366.24,3.48,1299.5,366.24,3.55,1301.2,366.24,3.55,10485.4,775.4,11700,6.19,60,11640,12.81,300,39.53,300,775.68,11760,6.13,60,11700,12.84,360,39.67,360,775.32,11760,6.11,60,11700,12.94,360,39.7,360,40,12.55,21.06,34.24,0.18,15.17,
2025-10-28,00:00,1095.3,381.5,2.87,1106.9,381.5,2.9,1100,381.5,2.88,0,381.5,0,1039.6,366.24,2.84,1034.2,366.24,2.82,1028.9,366.24,2.81,1037.3,366.24,2.83,1040.5,366.24,2.84,8482.7,776.99,9540,6.2,60,9480,12.86,300,39.57,240,777.26,9480,6.13,0,9480,12.88,240,39.71,240,776.9,9480,6.12,60,9420,12.98,240,39.74,240,38.13,16.44,24.12,92.66,0.18,12.27,
2025-10-29,00:00,1432.9,381.5,3.76,1469.1,381.5,3.85,1444.8,381.5,3.79,0,381.5,0,1387.8,366.24,3.79,1363.9,366.24,3.72,1349.3,366.24,3.68,1364.9,366.24,3.73,1364.4,366.24,3.73,11177.1,779.06,12420,6.21,60,12360,12.91,300,39.64,420,779.34,12480,6.15,120,12360,12.93,300,39.78,420,778.99,12540,6.13,60,12480,13.03,300,39.81,420,37.5,16.96,24.84,296.53,0.22,16.17,
2025-10-30,00:00,1441.5,381.5,3.78,1480.6,381.5,3.88,1453.7,381.5,3.81,0,381.5,0,1409.9,366.24,3.85,1413.8,366.24,3.86,1362.6,366.24,3.72,1371.2,366.24,3.74,1370.9,366.24,3.74,11304.2,781.17,12660,6.22,60,12600,12.96,300,39.73,540,781.45,12660,6.16,60,12600,12.99,360,39.86,480,781.1,12660,6.14,60,12600,13.09,360,39.89,480,36.88,19.52,27,67.18,0.42,16.35,
2025-10-31,00:00,0.1,381.5,0,0.1,381.5,0,0.1,381.5,0,0.1,381.5,0,0.1,366.24,0,0.1,366.24,0,0.2,366.24,0,0.1,366.24,0,0.1,366.24,0,1,781.17,0,6.22,0,0,12.99,180,39.73,0,781.45,0,6.16,0,0,13.02,180,39.86,0,781.1,0,6.15,60,-60,13.12,180,39.89,0,38.75,15.28,19.44,223.52,0.18,0.00,0.85
2025-11-01,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-02,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-03,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-04,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-05,00:00,1150.6,381.5,3.02,1196.5,381.5,3.14,1189.6,381.5,3.12,1187.1,381.5,3.11,1138.4,366.24,3.11,1130.6,366.24,3.09,1093,366.24,2.98,1108.9,366.24,3.03,1102.2,366.24,3.01,10296.9,793.95,10200,6.27,60,10140,13.23,240,40.3,420,794.22,10200,6.21,60,10140,13.25,240,40.43,360,793.87,10200,6.19,0,10200,13.35,240,40.47,420,40,10.42,18,352.33,0.22,14.90,
2025-11-06,00:00,1842.1,381.5,4.83,1929.7,381.5,5.06,1913,381.5,5.01,1912.1,381.5,5.01,1832.5,366.24,5,1819.1,366.24,4.97,1762.7,366.24,4.81,1774.8,366.24,4.85,1769.9,366.24,4.83,16555.9,796.68,16380,6.28,60,16320,13.28,300,40.42,720,796.96,16440,6.22,60,16380,13.31,360,40.56,780,796.59,16320,6.2,60,16260,13.41,360,40.59,720,36.88,13.64,10.8,360.18,1.34,23.95,
2025-11-07,00:00,1790.8,381.5,4.69,1886.8,381.5,4.95,1865.9,381.5,4.89,1853.3,381.5,4.86,1778.1,366.24,4.86,1768.9,366.24,4.83,1710.2,366.24,4.67,1730.5,366.24,4.73,1721.7,366.24,4.7,16106.2,799.33,15900,6.29,60,15840,13.33,300,40.55,780,799.61,15900,6.23,60,15840,13.35,240,40.69,780,799.25,15960,6.21,60,15900,13.45,240,40.72,780,43.13,6.04,10.8,316.15,0.14,23.30,
2025-11-08,00:00,1523.2,381.5,3.99,1610,381.5,4.22,1591.2,381.5,4.17,1604.4,381.5,4.21,1531.1,366.24,4.18,1520,366.24,4.15,1455.6,366.24,3.97,1469.8,366.24,4.01,1465.7,366.24,4,13771,801.6,13620,6.3,60,13560,13.38,300,40.64,540,801.88,13620,6.24,60,13560,13.4,300,40.78,540,801.52,13620,6.22,60,13560,13.5,240,40.81,540,43.13,6.92,21.24,208.91,0.18,19.92,
2025-11-09,00:00,1751.9,381.5,4.59,1848.4,381.5,4.85,1829.7,381.5,4.8,1855,381.5,4.86,1780.4,366.24,4.86,1770.4,366.24,4.83,1675,366.24,4.57,1691.5,366.24,4.62,1685.9,366.24,4.6,15888.2,804.22,15720,6.31,60,15660,13.43,300,40.75,660,804.5,15720,6.25,60,15660,13.45,300,40.89,660,804.13,15660,6.23,60,15600,13.55,300,40.92,660,43.13,6.17,20.34,257.58,0.16,22.99,
2025-11-10,00:00,1628.2,381.5,4.27,1721.1,381.5,4.51,1703.7,381.5,4.47,1741.4,381.5,4.56,1664.6,366.24,4.55,1679.9,366.24,4.59,1563.2,366.24,4.27,1621.2,366.24,4.43,1571.2,366.24,4.29,14894.5,806.67,14700,6.32,60,14640,13.48,240,40.86,660,806.96,14760,6.26,60,14700,13.5,300,41,660,806.59,14760,6.24,60,14700,13.6,300,41.03,660,43.13,7.32,1.8,416.7,0.16,21.55,
2025-11-11,00:00,1096.7,381.5,2.87,1168.8,381.5,3.06,1151.3,381.5,3.02,1181.9,381.5,3.1,1127.8,366.24,3.08,1139.6,366.24,3.11,1116.3,366.24,3.05,1130.3,366.24,3.09,1060.1,366.24,2.89,10172.8,808.35,10080,6.33,60,10020,13.53,300,40.93,420,808.64,10080,6.27,60,10020,13.56,360,41.07,420,808.27,10080,6.25,60,10020,13.66,360,41.1,420,43.13,8.63,12.06,310.07,0.14,14.72,97.46
2025-11-12,00:00,482.9,381.5,1.27,529.6,381.5,1.39,520.3,381.5,1.36,536.4,381.5,1.41,512.9,366.24,1.4,518.5,366.24,1.42,507.6,366.24,1.39,511.3,366.24,1.4,520.9,366.24,1.42,4640.4,809.12,4620,6.34,60,4560,13.58,300,40.95,120,809.4,4560,6.28,60,4500,13.61,300,41.08,60,809.04,4620,6.27,120,4500,13.71,300,41.11,60,43.13,7.32,0.9,87.37,0.12,6.71,92.28
